Date,Close,High,Low,Open,Volume
10 May 2017,101.1449585,101.8939393,101.0647163,101.4124539,5229895
11 May 2017,100.7437286,101.0780926,100.1686273,101.0112241,5886783
12 May 2017,100.5564728,101.1516399,100.3090433,100.5096595,3886204
15 May 2017,101.3188248,101.5328254,100.6099758,100.7236576,4440793
16 May 2017,102.7699738,102.9772822,101.4191442,101.4191442,5767330
17 May 2017,100.9309692,103.0775821,100.9042218,102.5158545,5430309
18 May 2017,100.830658,101.1984615,100.3826122,100.8841528,3424813
19 May 2017,101.6331406,101.9541308,100.9042256,100.9844679,5902578
22 May 2017,102.0744934,102.2082411,101.3790181,101.713382,3453997
23 May 2017,101.6665802,102.7699803,101.5930195,102.0277023,2682467
24 May 2017,101.9875641,102.1547514,101.1315936,101.7869478,3904090
25 May 2017,102.4489822,102.8034121,102.2818056,102.4824218,2701504
26 May 2017,101.9741592,102.3152153,101.6866087,102.2149072,2555692
30 May 2017,101.4659348,102.0945414,101.3723188,101.6130561,3834636
31 May 2017,102.0678024,102.1814842,101.4124483,101.6665593,3706396
01 June 2017,102.0945358,102.2282835,101.3990607,102.1814702,3052333
02 June 2017,101.6799393,102.4489645,101.512752,102.3620301,3750642
05 June 2017,101.9207001,102.2684378,101.4325331,101.5261491,4157955
06 June 2017,101.8939133,102.2416508,101.6464838,101.6464838,3971871
07 June 2017,100.9644012,103.1176955,100.8440272,102.3486595,5089522
08 June 2017,101.7133865,102.1948719,100.9242953,100.9777901,3879614
09 June 2017,103.0508194,103.1578197,101.5662424,101.6464953,4562129
12 June 2017,103.7730408,105.12387,102.9973234,103.1110052,6769189
13 June 2017,103.1511383,103.9736691,103.0842698,103.9469217,3685581
14 June 2017,102.8569107,103.6125731,102.2751172,102.963911,3189359
15 June 2017,103.1310883,103.4453863,102.509163,102.509163,4868398
16 June 2017,103.9068069,103.9335544,102.2951742,103.1377709,7052132
19 June 2017,103.5457077,104.2278094,103.3450914,103.9937535,4842457
20 June 2017,103.6192551,103.9134979,103.1511434,103.3049463,4687858
21 June 2017,102.8435135,104.1809691,102.5760288,104.1809691,4141846
22 June 2017,103.2514572,103.6460082,102.776664,103.3517653,2485819
23 June 2017,103.0575104,103.4386769,102.850202,103.2113133,3433181
26 June 2017,103.8064957,104.1542333,103.4052632,103.458758,2252561
27 June 2017,103.4854813,103.8800321,103.3183047,103.6526685,2496279
28 June 2017,103.8666916,104.0204945,103.5055802,103.7530098,2323166
29 June 2017,103.0708847,104.1475264,102.7298286,103.8867232,3412261
30 June 2017,102.8702545,103.3183109,102.4088351,103.1711895,3735789
03 July 2017,104.0405502,104.3414746,102.6629734,102.7030945,2952335
05 July 2017,102.7632523,104.247829,102.7365049,104.1675761,3728362
06 July 2017,101.8872604,102.8702865,101.800326,102.5559884,2884345
07 July 2017,102.2750854,102.6428889,101.7401054,102.0610956,2573265
10 July 2017,102.5960999,102.9104086,102.0678119,102.2550544,3353685
11 July 2017,102.4423294,102.749946,101.6799853,102.4891427,3606085
12 July 2017,102.7833099,103.1444319,102.348638,102.6361992,3240403
13 July 2017,102.7365341,103.1110192,102.4422913,102.7833367,2590001
14 July 2017,103.1444473,103.3985583,102.5827091,102.9906337,3406194
17 July 2017,102.321907,102.9037004,101.8069928,102.7097764,4981680
18 July 2017,102.9839554,103.1778794,101.6464998,101.8872371,7914873
19 July 2017,98.65729523,100.4762256,98.10894138,100.3224227,14951106
20 July 2017,98.74422455,99.52663417,98.32292624,98.65729015,7543961
21 July 2017,98.35638428,98.8846723,97.975207,98.69742976,6808937
24 July 2017,97.62745667,98.32961344,97.50039048,98.30286603,4055970
25 July 2017,97.76122284,98.63056708,97.65422252,98.01533392,4402509
26 July 2017,97.20615387,97.9417502,96.61098675,97.81469469,4113290
27 July 2017,97.01222992,97.23291205,96.05595138,96.96541662,6726617
28 July 2017,96.49062347,96.99217473,96.18969912,96.83836113,3195321
31 July 2017,96.74473572,96.91860453,96.4103718,96.55080102,4556062
01 August 2017,97.16603088,97.41344971,96.7781615,96.965404,3367597
02 August 2017,96.59763336,97.15936101,96.44381974,97.04567917,3703781
03 August 2017,96.92530823,97.19280369,96.58426272,96.58426272,3175028
04 August 2017,97.07239532,97.22619822,96.56416266,96.96539504,2666672
07 August 2017,95.94226837,97.02560242,95.46078301,96.96541542,4830742
08 August 2017,96.03688812,96.47615278,95.9625502,95.9625502,3450440
09 August 2017,95.80708313,95.98278894,95.4151265,95.79356813,3060387
10 August 2017,95.85441589,96.24637262,95.44218126,95.71925505,4733568
11 August 2017,95.85441589,96.36125556,95.63816502,96.26665053,3142184
14 August 2017,96.17878723,96.47613889,95.92198058,95.96253638,2352036
15 August 2017,96.00983429,96.86809638,95.00290716,96.33421596,4896849
16 August 2017,96.30044556,96.57751935,95.69899005,95.8206251,3439039
17 August 2017,95.08399963,96.56399509,95.08399963,96.31395133,4625517
18 August 2017,94.40823364,95.38813096,94.32713282,95.19891008,4343724
21 August 2017,94.83396912,94.89478124,94.0230149,94.33388158,3337472
22 August 2017,95.29349518,95.38811099,94.86774559,95.04345142,2661442
23 August 2017,96.05715179,96.6721223,95.07049168,95.08400668,4234522
24 August 2017,96.5977478,97.09783517,96.13145333,96.30040701,3757441
25 August 2017,97.13839722,97.44251174,96.80726347,96.84105637,3005053
28 August 2017,96.30718231,97.69256186,96.22609229,97.38844732,5319956
29 August 2017,96.73294067,96.92892442,95.89495644,96.03011728,3147937
30 August 2017,96.3409729,96.82754538,96.23960498,96.81403037,2861856
31 August 2017,96.65859222,97.0843418,96.38828137,96.65184012,3824594
01 September 2017,97.36816406,97.65198988,96.62478506,96.62478506,3505878
05 September 2017,96.66536713,97.55741139,96.43559047,96.97623381,3239985
06 September 2017,97.19246674,97.63173128,96.97621591,97.23301174,3423872
07 September 2017,96.57074738,97.74662827,96.23961359,97.38170158,4380857
08 September 2017,96.26662445,96.73968187,95.71922913,96.73968187,3521045
11 September 2017,97.89529419,98.07775212,96.6450755,97.00325005,4825616
12 September 2017,98.50350952,98.91574412,97.65877322,98.06424492,5479053
13 September 2017,98.65895081,98.86168666,98.21968619,98.2264383,4289646
14 September 2017,98.35485077,98.92252419,98.33458365,98.57111245,3929717
15 September 2017,97.8682785,98.10480727,97.36819096,97.8682785,7737471
18 September 2017,97.68580627,98.31429174,97.49658542,97.86151212,3158397
19 September 2017,97.5776825,97.97640213,97.46279955,97.84800418,3623762
20 September 2017,98.58461761,98.58461761,97.59795752,97.94261712,5698085
21 September 2017,98.1656189,98.59136852,98.05749886,98.42917767,2673158
22 September 2017,98.07775879,98.38862545,97.71283211,98.38862545,2920746
25 September 2017,98.57783508,98.68596589,97.9290826,98.07099552,5452903
26 September 2017,99.04412079,99.62530899,98.62513418,98.90897078,4695076
27 September 2017,98.43593597,99.27392018,98.01018637,99.12524434,3663824
28 September 2017,98.43593597,98.5710968,97.45603883,98.43593597,2902441
29 September 2017,98.04398346,98.45621808,97.93585263,98.29402723,2776816
02 October 2017,99.11171722,99.25363015,98.1318202,98.22642522,3109967
03 October 2017,99.19280243,99.47663905,98.8954616,99.13197953,2408624
04 October 2017,98.99010468,99.35503144,98.74006086,99.34151644,2347642
05 October 2017,99.15225983,99.70640728,98.99006901,99.12522982,2810079
06 October 2017,98.99010468,99.24014849,98.88198462,99.09823552,2743867
09 October 2017,99.6050415,99.87536313,98.90221822,99.00358613,2806000
10 October 2017,100.3551788,100.6592826,99.78075343,99.82129844,4218100
11 October 2017,99.76049042,100.3349051,99.53071378,100.2876079,3872501
12 October 2017,99.36177826,99.94295584,99.18607241,99.71994207,3414458
13 October 2017,99.40908813,99.9159278,99.30095731,99.66588402,2621904
16 October 2017,99.22659302,99.79425545,99.0103422,99.49015173,3192497
17 October 2017,99.03059387,99.42256122,98.78731309,99.09141676,6665530
18 October 2017,107.8091888,108.958029,106.0656453,106.1805282,31892749
19 October 2017,108.734993,108.775538,107.5118045,107.991614,10370253
20 October 2017,109.5257034,109.8027772,107.9713807,108.84991,8230765
23 October 2017,107.8226776,109.8230274,107.8159147,109.5121608,6045252
24 October 2017,105.3425064,107.9240333,104.8626969,107.8902405,8571656
25 October 2017,103.7341232,105.6736391,103.4367716,105.4303583,7239471
26 October 2017,103.8017273,104.8289323,103.7611823,104.2815369,4498323
27 October 2017,103.8557892,104.4978004,103.3354345,104.4369775,5120379
30 October 2017,104.3153076,104.4707355,103.2002499,103.909836,4404078
31 October 2017,104.1125793,104.7005197,103.3489332,104.2950373,4527402
01 November 2017,104.0922852,104.6802254,103.9571244,104.1395931,3389249
02 November 2017,103.6327515,104.4031496,103.3353999,104.1936509,3553890
03 November 2017,102.436615,103.7138637,102.3757921,103.6800708,4635663
06 November 2017,101.9365158,102.598794,101.5580742,102.5650011,4705326
07 November 2017,102.2811966,102.3893166,101.7067712,102.2947116,3871351
08 November 2017,102.4298553,102.5785204,101.5580784,102.4501225,4847582
09 November 2017,102.5868759,103.6106984,102.2865521,102.3343328,4996219
10 November 2017,101.8087616,102.9895654,101.7951115,102.8257534,4505436
13 November 2017,101.2900162,101.6995407,100.9623922,101.6176401,5342445
14 November 2017,101.6244583,101.6790587,100.6688975,100.9828605,3930868
15 November 2017,100.4027176,101.50161,99.79525034,101.0170044,4992872
16 November 2017,101.7814789,102.1432337,100.6757557,100.8327482,5697039
17 November 2017,101.6790543,102.4844641,101.5835036,101.9315973,5142659
20 November 2017,102.7301559,103.7130276,102.3138119,102.818887,5937619
21 November 2017,103.7130356,104.0543096,103.20113,103.2693805,3928985
22 November 2017,103.59021,104.0133955,103.289897,103.7472024,3361426
24 November 2017,103.6379623,103.8836857,103.2898687,103.7130433,1247878
27 November 2017,103.7335358,104.0816294,103.4878123,103.7881361,3529204
28 November 2017,104.0679779,104.3819518,103.5424222,103.9860774,4156490
29 November 2017,104.8051376,104.8460988,103.8632268,104.3000515,5333240
30 November 2017,105.0917664,105.3920901,104.4842994,104.8733541,6799837
01 December 2017,105.631012,105.808474,104.3682969,105.3852885,5824023
04 December 2017,106.7913513,107.0234247,105.84261,106.4500772,4878858
05 December 2017,106.0337219,106.9824633,105.5764166,106.7845315,5301128
06 December 2017,105.1805191,106.6275157,105.1736995,105.1805191,3567592
07 December 2017,104.8187561,105.4194036,104.6071743,104.8324171,3944571
08 December 2017,105.6651306,105.8152925,104.8051205,105.7811618,3682234
11 December 2017,106.0746613,106.4022852,105.5013139,106.108781,4291424
12 December 2017,106.9824448,107.7400738,105.9040223,107.36468,6612603
13 December 2017,105.0508652,106.9756481,105.0372151,106.8869171,5922034
14 December 2017,105.1122818,105.8699,104.9075086,105.5218063,4850720
15 December 2017,104.0884476,104.9757579,103.7676432,104.8460766,11798775
18 December 2017,104.6549759,105.235132,104.5730645,104.832438,5327069
19 December 2017,104.5866928,105.2282905,104.4911422,105.1463791,4305754
20 December 2017,104.3955994,105.0371972,104.2795681,104.8733852,3959842
21 December 2017,103.4059143,104.7437104,103.3990838,104.5457678,4344979
22 December 2017,104.0884476,104.4297216,103.4058995,103.6243118,3128168
26 December 2017,104.3136902,105.0167079,104.0884474,104.095267,2593034
27 December 2017,104.5184555,104.5525753,104.1635314,104.3955938,2248168
28 December 2017,105.139595,105.1941954,104.5662476,104.5662476,2811230
29 December 2017,104.7164001,105.6037106,104.7164001,105.2283167,3480147
02 January 2018,105.2829208,105.6651452,104.7983153,105.4535633,4395815
03 January 2018,108.1769104,109.0778708,106.7026026,107.3919812,9875914
04 January 2018,110.3678741,110.7910487,108.7775353,108.9686475,7903785
05 January 2018,110.9070892,111.1869433,109.9583481,110.8729695,5434807
08 January 2018,111.5759964,111.8763202,110.3678925,111.0231405,5478425
09 January 2018,111.8217316,112.2995066,111.2961649,111.8695014,4541523
10 January 2018,112.0606155,112.1629967,110.9139316,111.1937748,4366109
11 January 2018,112.0742493,112.5793244,111.4599517,112.4837737,3969047
12 January 2018,111.3507309,112.4428142,111.2756609,111.9513784,5263367
16 January 2018,111.8353806,112.8182417,111.4941065,112.6885603,8152733
17 January 2018,115.1115875,115.4392006,114.1628464,114.674752,12248660
18 January 2018,115.4323883,116.8043041,114.7703208,116.033025,14915228
19 January 2018,110.8251877,112.8933016,110.0948589,112.2517147,22146435
22 January 2018,110.9822006,111.9241224,109.9652087,110.2382324,8870917
